symbol,name,country,indices,industries,symbols,metadata,isins,akas,wiki_name
BA,The Boeing Company,United States,CAC 40;DOW JONES;EURO STOXX 50;S&P 100;S&P 500,Industrial Goods;Industrials;Aerospace & Defense,"[{'yahoo': 'BCO.F', 'google': 'FRA:BCO', 'currency': 'EUR'}, {'yahoo': 'BA', 'google': 'NYSE:BA', 'currency': 'USD'}, {'yahoo': 'BOE.L', 'google': 'LON:BOE', 'currency': 'GBP'}]","{'founded': 1916, 'employees': 141014}",['NL0000235190'],[],
BAC,Bank of America Corporation,United States,S&P 100;S&P 500,Banking & Investment Services;Banking Services;Financials;Banks,"[{'yahoo': 'NCB.F', 'google': 'FRA:NCB', 'currency': 'EUR'}, {'yahoo': 'BAC', 'google': 'NYSE:BAC', 'currency': 'USD'}, {'yahoo': 'BOAPL', 'google': 'OTCMKTS:BOAPL', 'currency': 'USD'}]","{'founded': 1956, 'employees': 213000}",['US0605051046'],[],
BIDU,Baidu Inc.,China,NASDAQ 100,Technology;Software & IT Services;Internet Services,"[{'yahoo': 'B1C.F', 'google': 'FRA:B1C', 'currency': 'EUR'}, {'yahoo': 'BIDU', 'google': 'NASDAQ:BIDU', 'currency': 'USD'}, {'yahoo': 'BAIDF', 'google': 'OTCMKTS:BAIDF', 'currency': 'USD'}]","{'founded': 2000, 'employees': 45887}",[],[],
BIIB,Biogen Inc.,United States,NASDAQ 100;S&P 500,Pharmaceuticals;Pharmaceuticals & Medical Research;Healthcare,"[{'yahoo': 'IDP.F', 'google': 'FRA:IDP', 'currency': 'EUR'}, {'yahoo': 'BIIB', 'google': 'NASDAQ:BIIB', 'currency': 'USD'}]","{'founded': 1978, 'employees': 7300}",[],[],
BK,The Bank of New York Mellon Corporation,United States,S&P 100;S&P 500,Banking & Investment Services;Investment Banking & Investment Services;Financials;Investment Management & Fund Operators,"[{'yahoo': 'BN9.F', 'google': 'FRA:BN9', 'currency': 'EUR'}, {'yahoo': 'BK', 'google': 'NYSE:BK', 'currency': 'USD'}, {'yahoo': '0HLQ.L', 'google': 'LON:0HLQ', 'currency': 'GBP'}]","{'founded': 2007, 'employees': 48400}",[],[],
BKNG,Booking Holdings Inc.,United States,NASDAQ 100;S&P 100;S&P 500,Hotels & Entertainment Services;Leisure & Recreation;Cyclical Consumer Services;Consumer Cyclicals,"[{'yahoo': 'PCE1.F', 'google': 'FRA:PCE1', 'currency': 'EUR'}, {'yahoo': 'BKNG', 'google': 'NASDAQ:BKNG', 'currency': 'USD'}, {'yahoo': '0W2Y.L', 'google': 'LON:0W2Y', 'currency': 'GBP'}]","{'founded': 1996, 'employees': 26400}",[],[],
BLK,BlackRock Inc.,United States,S&P 100;S&P 500,Banking & Investment Services;Investment Banking & Investment Services;Financials;Investment Management & Fund Operators,"[{'yahoo': 'BLQA.F', 'google': 'FRA:BLQA', 'currency': 'EUR'}, {'yahoo': 'BLK', 'google': 'NYSE:BLK', 'currency': 'USD'}, {'yahoo': '0QZZ.L', 'google': 'LON:0QZZ', 'currency': 'GBP'}]","{'founded': 1988, 'employees': 16500}",['US09247X1019'],[],
BMY,Bristol-Myers Squibb Company,United States,S&P 100;S&P 500,Pharmaceuticals;Pharmaceuticals & Medical Research;Healthcare,"[{'yahoo': 'BRM.F', 'google': 'FRA:BRM', 'currency': 'EUR'}, {'yahoo': 'BMY', 'google': 'NYSE:BMY', 'currency': 'USD'}, {'yahoo': 'BMYMP', 'google': 'OTCMKTS:BMYMP', 'currency': 'USD'}]","{'founded': 1887, 'employees': 30000}",[],[],
BRK-B,Berkshire Hathaway Inc.,United States,S&P 100;S&P 500,Insurance;Financials;Multiline Insurance & Brokers,"[{'yahoo': 'BRYN.F', 'google': 'FRA:BRYN', 'currency': 'EUR'}, {'yahoo': 'BRK-B', 'google': 'NYSE:BRK.B', 'currency': 'USD'}, {'yahoo': 'BRH.F', 'google': 'FRA:BRH', 'currency': 'EUR'}]","{'founded': 1839, 'employees': 360000}",['US0846707026'],[],
C,Citigroup Inc.,United States,S&P 100;S&P 500,Banking & Investment Services;Banking Services;Financials;Banks,"[{'yahoo': 'TRVC.F', 'google': 'FRA:TRVC', 'currency': 'EUR'}, {'yahoo': 'C', 'google': 'NYSE:C', 'currency': 'USD'}]","{'founded': 1998, 'employees': 210000}",['US1729674242'],[],
CAT,Caterpillar Inc.,United States,DOW JONES;S&P 100;S&P 500,"Industrial Goods;Industrials;Heavy Machinery & Vehicles;Machinery, Equipment & Components","[{'yahoo': 'CAT1.F', 'google': 'FRA:CAT1', 'currency': 'EUR'}, {'yahoo': 'CAT', 'google': 'NYSE:CAT', 'currency': 'USD'}, {'yahoo': '0Q18.L', 'google': 'LON:0Q18', 'currency': 'GBP'}]","{'founded': 1925, 'employees': 102300}",[],[],
CDNS,Cadence Design Systems Inc.,United States,NASDAQ 100;S&P 500,Software;Technology;Software & IT Services,"[{'yahoo': 'CDS.F', 'google': 'FRA:CDS', 'currency': 'EUR'}, {'yahoo': 'CDNS', 'google': 'NASDAQ:CDNS', 'currency': 'USD'}, {'yahoo': '0HS2.L', 'google': 'LON:0HS2', 'currency': 'GBP'}]","{'founded': 1988, 'employees': 8900}",[],[],
CHTR,Charter Communications Inc.,United States,NASDAQ 100;S&P 100;S&P 500,Media & Publishing;Cyclical Consumer Services;Broadcasting;Consumer Cyclicals,"[{'yahoo': 'CQD.F', 'google': 'FRA:CQD', 'currency': 'EUR'}, {'yahoo': 'CHTR', 'google': 'NASDAQ:CHTR', 'currency': 'USD'}, {'yahoo': '0HW4.L', 'google': 'LON:0HW4', 'currency': 'GBP'}]","{'founded': 1993, 'employees': 98000}",[],[],
CL,Colgate-Palmolive Company,United States,S&P 100;S&P 500,Consumer Non-Cyclicals;Personal Products;Personal & Household Products & Services,"[{'yahoo': 'CPA.F', 'google': 'FRA:CPA', 'currency': 'EUR'}, {'yahoo': 'CL', 'google': 'NYSE:CL', 'currency': 'USD'}, {'yahoo': '0P59.L', 'google': 'LON:0P59', 'currency': 'GBP'}]","{'founded': 1806, 'employees': 34500}",[],[],
CMCSA,Comcast Corporation,United States,NASDAQ 100;S&P 100;S&P 500,Media & Publishing;Cyclical Consumer Services;Broadcasting;Consumer Cyclicals,"[{'yahoo': 'CTP2.F', 'google': 'FRA:CTP2', 'currency': 'EUR'}, {'yahoo': 'CMCSA', 'google': 'NASDAQ:CMCSA', 'currency': 'USD'}]","{'founded': 1963, 'employees': 190000}",[],[],
COF,Capital One Financial Corporation,United States,S&P 100;S&P 500,Banking & Investment Services;Banking Services;Financials;Consumer Lending,"[{'yahoo': 'CFX.F', 'google': 'FRA:CFX', 'currency': 'EUR'}, {'yahoo': 'COF', 'google': 'NYSE:COF', 'currency': 'USD'}, {'yahoo': '0HT4.L', 'google': 'LON:0HT4', 'currency': 'GBP'}, {'yahoo': 'CFXE.F', 'google': 'FRA:CFXE', 'currency': 'EUR'}, {'yahoo': 'CFX1.F', 'google': 'FRA:CFX1', 'currency': 'EUR'}]","{'founded': 1994, 'employees': 51985}",[],[],
COP,ConocoPhillips,United States,S&P 100;S&P 500,Energy;Fossil Fuels;Oil & Gas;Oil & Gas Exploration and Production,"[{'yahoo': 'YCP.F', 'google': 'FRA:YCP', 'currency': 'EUR'}, {'yahoo': 'COP', 'google': 'NYSE:COP', 'currency': 'USD'}, {'yahoo': '0QZA.L', 'google': 'LON:0QZA', 'currency': 'GBP'}]","{'founded': 1875, 'employees': 10400}",['US20825C1045'],[],
COST,Costco Wholesale Corporation,United States,NASDAQ 100;S&P 100;S&P 500,Diversified Retail;Retailers;Discount Stores;Consumer Cyclicals,"[{'yahoo': 'CTO.F', 'google': 'FRA:CTO', 'currency': 'EUR'}, {'yahoo': 'COST', 'google': 'NASDAQ:COST', 'currency': 'USD'}, {'yahoo': '0I47.L', 'google': 'LON:0I47', 'currency': 'GBP'}, {'yahoo': 'CTO0.F', 'google': 'FRA:CTO0', 'currency': 'EUR'}]","{'founded': 1976, 'employees': 273000}",[],[],
CPRT,Copart Inc.,United States,NASDAQ 100;S&P 500,"Auto Vehicles, Parts & Service Retailers;Retailers;Specialty Retailers;Consumer Cyclicals","[{'yahoo': 'CO6.F', 'google': 'FRA:CO6', 'currency': 'EUR'}, {'yahoo': 'CPRT', 'google': 'NASDAQ:CPRT', 'currency': 'USD'}]","{'founded': 1982, 'employees': 7600}",[],[],
CRM,salesforce.com Inc.,United States,DOW JONES;S&P 100;S&P 500,Technology;Software & IT Services;IT Services & Consulting,"[{'yahoo': 'FOO.F', 'google': 'FRA:FOO', 'currency': 'EUR'}, {'yahoo': 'CRM', 'google': 'NYSE:CRM', 'currency': 'USD'}, {'yahoo': 'FOO0.F', 'google': 'FRA:FOO0', 'currency': 'EUR'}, {'yahoo': '0QYJ.L', 'google': 'LON:0QYJ', 'currency': 'GBP'}]","{'founded': 1999, 'employees': 60000}",[],[],
CRWD,"CrowdStrike Holdings, Inc.",United States,NASDAQ 100,Information security,"[{'yahoo': 'CRWD', 'google': 'NASDAQ:CRWD', 'currency': 'USD'}, {'yahoo': '45C.F', 'google': 'FRA:45C', 'currency': 'EUR'}, {'yahoo': '0A3N.L', 'google': 'LON:0A3N', 'currency': 'GBP'}]","{'founded': 2011, 'employees': 3163}",[],[],"CrowdStrike Holdings, Inc."
CSCO,Cisco Systems Inc.,United States,DOW JONES;NASDAQ 100;S&P 100;S&P 500,Technology;Technology Equipment;Communications & Networking,"[{'yahoo': 'CIS.F', 'google': 'FRA:CIS', 'currency': 'EUR'}, {'yahoo': 'CSCO', 'google': 'NASDAQ:CSCO', 'currency': 'USD'}]","{'founded': 1984, 'employees': 77500}",[],[],
CSX,CSX Corporation,United States,NASDAQ 100;S&P 500,Ground Freight & Logistics;Industrials;Freight & Logistics Services;Transportation,"[{'yahoo': 'CXR.F', 'google': 'FRA:CXR', 'currency': 'EUR'}, {'yahoo': 'CSX', 'google': 'NASDAQ:CSX', 'currency': 'USD'}, {'yahoo': '0HRJ.L', 'google': 'LON:0HRJ', 'currency': 'GBP'}]","{'founded': 1980, 'employees': 20908}",[],[],
CTAS,Cintas Corporation,United States,NASDAQ 100;S&P 500,Business Support Services;Industrials;Professional & Commercial Services;Industrial & Commercial Services,"[{'yahoo': 'CIT.F', 'google': 'FRA:CIT', 'currency': 'EUR'}, {'yahoo': 'CTAS', 'google': 'NASDAQ:CTAS', 'currency': 'USD'}, {'yahoo': '0HYJ.L', 'google': 'LON:0HYJ', 'currency': 'GBP'}]","{'founded': 1929, 'employees': 40000}",[],[],
CTSH,Cognizant Technology Solutions Corporation,United States,NASDAQ 100;S&P 500,Technology;Software & IT Services;IT Services & Consulting,"[{'yahoo': 'COZ.F', 'google': 'FRA:COZ', 'currency': 'EUR'}, {'yahoo': 'CTSH', 'google': 'NASDAQ:CTSH', 'currency': 'USD'}, {'yahoo': '0QZ5.L', 'google': 'LON:0QZ5', 'currency': 'GBP'}]","{'founded': 1994, 'employees': 289500}",['US1924461023'],[],
CVS,CVS Health Corporation,United States,S&P 100;S&P 500,Healthcare;Healthcare Providers & Services;Healthcare Facilities & Services;Healthcare Services,"[{'yahoo': 'CVS.F', 'google': 'FRA:CVS', 'currency': 'EUR'}, {'yahoo': 'CVS', 'google': 'NYSE:CVS', 'currency': 'USD'}, {'yahoo': '0HRS.L', 'google': 'LON:0HRS', 'currency': 'GBP'}]","{'founded': 1963, 'employees': 300000}",[],[],
CVX,Chevron Corporation,United States,DOW JONES;S&P 100;S&P 500,Energy;Fossil Fuels;Oil & Gas,"[{'yahoo': 'CHV.F', 'google': 'FRA:CHV', 'currency': 'EUR'}, {'yahoo': 'CVX', 'google': 'NYSE:CVX', 'currency': 'USD'}]","{'founded': 1879, 'employees': 44679}",['US1667641005'],[],
DDOG,"Datadog, Inc.",United States,NASDAQ 100,System Monitoring,"[{'yahoo': 'DDOG', 'google': 'NASDAQ:DDOG', 'currency': 'USD'}]","{'founded': 2010, 'employees': 3200}",[],[],"Datadog, Inc."
DHR,Danaher Corporation,United States,S&P 100;S&P 500,Healthcare;Advanced Medical Equipment & Technology;Healthcare Services;Healthcare Equipment & Supplies,"[{'yahoo': 'DAP.F', 'google': 'FRA:DAP', 'currency': 'EUR'}, {'yahoo': 'DHR', 'google': 'NYSE:DHR', 'currency': 'USD'}, {'yahoo': '0R2B.L', 'google': 'LON:0R2B', 'currency': 'GBP'}]","{'founded': 1969, 'employees': 71000}",[],[],
DIS,The Walt Disney Company,United States,S&P 100;S&P 500;DOW JONES,Media & Publishing;Cyclical Consumer Services;Broadcasting;Consumer Cyclicals,"[{'yahoo': 'WDP.F', 'google': 'FRA:WDP', 'currency': 'EUR'}, {'yahoo': 'DIS', 'google': 'OTCMKTS:DIS', 'currency': 'USD'}, {'yahoo': 'WDP0.F', 'google': 'FRA:WDP0', 'currency': 'EUR'}]","{'founded': 1923, 'employees': 223000}",['US2546871060'],[],
DLTR,Dollar Tree Inc.,United States,NASDAQ 100;S&P 500,Diversified Retail;Retailers;Discount Stores;Consumer Cyclicals,"[{'yahoo': 'DT3.F', 'google': 'FRA:DT3', 'currency': 'EUR'}, {'yahoo': 'DLTR', 'google': 'NASDAQ:DLTR', 'currency': 'USD'}, {'yahoo': '0IC8.L', 'google': 'LON:0IC8', 'currency': 'GBP'}]","{'founded': 1986, 'employees': 193100}",[],[],
DOCU,"DocuSign, Inc.",United States,NASDAQ 100,,"[{'yahoo': 'DOCU', 'google': 'NASDAQ:DOCU', 'currency': 'USD'}, {'yahoo': 'DS3.F', 'google': 'FRA:DS3', 'currency': 'EUR'}, {'yahoo': '0XNH.L', 'google': 'LON:0XNH', 'currency': 'GBP'}]","{'founded': 2003, 'employees': 6200}",[],[],"DocuSign, Inc."
DOW,Dow Inc.,United States,DOW JONES;S&P 100;S&P 500,Chemicals,"[{'yahoo': '2OY.F', 'google': 'FRA:2OY', 'currency': 'EUR'}, {'yahoo': 'DOW', 'google': 'NYSE:DOW', 'currency': 'USD'}, {'yahoo': '0A1S.L', 'google': 'LON:0A1S', 'currency': 'GBP'}]","{'founded': 2019, 'employees': 36500}",[],[],Dow Inc.
DUK,Duke Energy Corporation,United States,S&P 100;S&P 500,Electric Utilities;Electric Utilities & IPPs;Utilities,"[{'yahoo': 'D2MN.F', 'google': 'FRA:D2MN', 'currency': 'EUR'}, {'yahoo': 'DUK', 'google': 'NYSE:DUK', 'currency': 'USD'}, {'yahoo': '0ID1.L', 'google': 'LON:0ID1', 'currency': 'GBP'}]","{'founded': 1904, 'employees': 27535}",[],[],
DXCM,"DexCom, Inc.",United States,NASDAQ 100;S&P 500,,"[{'yahoo': 'DXCM', 'google': 'NASDAQ:DXCM', 'currency': 'USD'}, {'yahoo': 'DC4.F', 'google': 'FRA:DC4', 'currency': 'EUR'}, {'yahoo': '0A4M.L', 'google': 'LON:0A4M', 'currency': 'GBP'}]","{'founded': 1999, 'employees': 3900}",[],[],"DexCom, Inc."
EA,Electronic Arts Inc.,United States,NASDAQ 100;S&P 500,Software;Technology;Software & IT Services,"[{'yahoo': 'ERT.F', 'google': 'FRA:ERT', 'currency': 'EUR'}, {'yahoo': 'EA', 'google': 'NASDAQ:EA', 'currency': 'USD'}, {'yahoo': '0IFX.L', 'google': 'LON:0IFX', 'currency': 'GBP'}]","{'founded': 1982, 'employees': 9800}",[],[],
EBAY,eBay Inc.,United States,NASDAQ 100;S&P 500,Technology;Software & IT Services;Internet Services,"[{'yahoo': 'EBA.F', 'google': 'FRA:EBA', 'currency': 'EUR'}, {'yahoo': 'EBAY', 'google': 'NASDAQ:EBAY', 'currency': 'USD'}]","{'founded': 1995, 'employees': 13300}",[],[],
EMR,Emerson Electric Co.,United States,S&P 100;S&P 500,"Industrial Goods;Industrials;Machinery, Equipment & Components;Electrical Components & Equipment","[{'yahoo': 'EMR.F', 'google': 'FRA:EMR', 'currency': 'EUR'}, {'yahoo': 'EMR', 'google': 'NYSE:EMR', 'currency': 'USD'}, {'yahoo': '0R33.L', 'google': 'LON:0R33', 'currency': 'GBP'}]","{'founded': 1890, 'employees': 83500}",[],[],
EXC,Exelon Corporation,United States,NASDAQ 100;S&P 100;S&P 500,Electric Utilities;Electric Utilities & IPPs;Utilities,"[{'yahoo': 'PEO.F', 'google': 'FRA:PEO', 'currency': 'EUR'}, {'yahoo': 'EXC', 'google': 'NASDAQ:EXC', 'currency': 'USD'}, {'yahoo': '0IJN.L', 'google': 'LON:0IJN', 'currency': 'GBP'}]","{'founded': 2000, 'employees': 33383}",[],[],
F,Ford Motor Company,United States,S&P 100;S&P 500,Auto & Truck Manufacturers;Automobiles & Auto Parts;Consumer Cyclicals,"[{'yahoo': 'FMC1.F', 'google': 'FRA:FMC1', 'currency': 'EUR'}, {'yahoo': 'F', 'google': 'NYSE:F', 'currency': 'USD'}]","{'founded': 1903, 'employees': 186000}",[],[],
FAST,Fastenal Company,United States,NASDAQ 100;S&P 500,"Industrial Goods;Industrials;Machinery, Equipment & Components;Industrial Machinery & Equipment","[{'yahoo': 'FAS.F', 'google': 'FRA:FAS', 'currency': 'EUR'}, {'yahoo': 'FAST', 'google': 'NASDAQ:FAST', 'currency': 'USD'}, {'yahoo': '0IKW.L', 'google': 'LON:0IKW', 'currency': 'GBP'}]","{'founded': 1967, 'employees': 20565}",[],[],
FDX,FedEx Corporation,United States,S&P 100;S&P 500,Industrials;Air Freight & Courier Services;Freight & Logistics Services;Transportation,"[{'yahoo': 'FDX.F', 'google': 'FRA:FDX', 'currency': 'EUR'}, {'yahoo': 'FDX', 'google': 'NYSE:FDX', 'currency': 'USD'}, {'yahoo': '0QZX.L', 'google': 'LON:0QZX', 'currency': 'GBP'}]","{'founded': 1971, 'employees': 600000}",['US31428X1063'],[],
FTNT,Fortinet Inc.,United States,NASDAQ 100;S&P 500,Technology;Software & IT Services;IT Services & Consulting,"[{'yahoo': 'FO8.F', 'google': 'FRA:FO8', 'currency': 'EUR'}, {'yahoo': 'FTNT', 'google': 'NASDAQ:FTNT', 'currency': 'USD'}, {'yahoo': '0IR9.L', 'google': 'LON:0IR9', 'currency': 'GBP'}]","{'founded': 2000, 'employees': 8238}",[],[],
